STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/7/71,,28,19
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/8/71,,29,12
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/9/71,,33,25
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/10/71,,43,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/11/71,,51,33
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/12/71,,52,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/13/71,,65,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/14/71,,59,38
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/15/71,,42,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/16/71,,37,27
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/17/71,,54,25
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/18/71,,47,34
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/19/71,,34,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/20/71,,47,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/21/71,,39,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/22/71,,33,22
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/23/71,,28,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/24/71,,32,14
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/25/71,,34,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/26/71,,38,30
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/27/71,,66,31
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/28/71,,51,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/29/71,,51,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/30/71,,73,33
